requisition_id,department,country,job_family,seniority_level,open_date,close_date,days_to_fill,candidates_screened,candidates_interviewed,hired_employee_id,source
REQ-00016,Engineering,Danmark,Individual Contributor,Mid,2022-08-09,2022-10-13,65,95,9,EMP-00057,LinkedIn
REQ-00017,Sales,Norge,Individual Contributor,Mid,2022-07-31,2022-09-07,38,85,12,EMP-00065,Referral
REQ-00018,Customer Support,Norge,Individual Contributor,Mid,2022-11-08,2022-11-22,14,106,12,EMP-00066,LinkedIn
REQ-00019,Operations,Sverige,Individual Contributor,Junior,2024-11-09,2024-12-10,31,45,4,EMP-00067,LinkedIn
REQ-00020,Finance,Danmark,Specialist,Mid,2022-12-14,2022-12-28,14,115,5,EMP-00072,Job Board
REQ-00021,Finance,Sverige,Specialist,Junior,2024-10-31,2024-12-10,40,38,13,EMP-00074,Referral
REQ-00022,R&D,Sverige,Individual Contributor,Junior,2024-02-18,2024-03-15,26,109,15,EMP-00077,Referral
REQ-00023,Finance,Tyskland,Specialist,Mid,2022-07-22,2022-08-05,14,38,5,EMP-00078,LinkedIn
REQ-00024,Sales,Danmark,Individual Contributor,Mid,2022-03-28,2022-05-04,37,125,9,EMP-00079,Internal
REQ-00025,R&D,Norge,Individual Contributor,Mid,2022-10-03,2022-11-09,37,28,11,EMP-00084,Internal
REQ-00026,Finance,Finland,Individual Contributor,Mid,2022-04-24,2022-07-09,76,64,6,EMP-00085,Internal
REQ-00027,Customer Support,Tyskland,Individual Contributor,Junior,2024-10-24,2024-12-10,47,57,6,EMP-00088,Job Board
REQ-00028,Operations,Danmark,Individual Contributor,Mid,2022-06-26,2022-07-10,14,45,4,EMP-00090,Internal
REQ-00029,Engineering,Danmark,Individual Contributor,Junior,2022-09-04,2022-10-16,42,83,13,EMP-00091,Referral
REQ-00030,Sales,Finland,Individual Contributor,Junior,2023-07-11,2023-09-10,61,62,5,EMP-00097,LinkedIn
REQ-00031,Sales,Danmark,Individual Contributor,Junior,2022-10-05,2022-10-19,14,87,12,EMP-00099,Internal
REQ-00032,Sales,Sverige,Individual Contributor,Mid,2022-05-05,2022-05-28,23,93,8,EMP-00111,Referral
REQ-00033,Customer Support,Norge,Individual Contributor,Junior,2024-04-30,2024-06-04,35,73,4,EMP-00112,Referral
REQ-00034,Finance,Sverige,Specialist,Junior,2024-06-25,2024-07-22,27,46,3,EMP-00113,Job Board
REQ-00035,Engineering,Norge,Individual Contributor,Mid,2021-11-20,2022-02-01,73,42,15,EMP-00116,Agency
REQ-00036,Sales,Sverige,Individual Contributor,Junior,2024-11-03,2024-12-10,37,60,7,EMP-00126,Referral
REQ-00037,Sales,Danmark,Individual Contributor,Junior,2023-09-06,2023-10-11,35,143,6,EMP-00131,LinkedIn
REQ-00038,Operations,Sverige,Individual Contributor,Junior,2024-10-05,2024-10-26,21,45,7,EMP-00147,LinkedIn
REQ-00039,Operations,Norge,Individual Contributor,Mid,2023-07-15,2023-08-02,18,66,6,EMP-00152,Referral
REQ-00040,Engineering,Norge,Individual Contributor,Junior,2023-07-13,2023-09-02,51,132,7,EMP-00153,Agency
REQ-00041,Sales,Sverige,Individual Contributor,Mid,2022-12-26,2023-01-28,33,90,15,EMP-00157,Referral
REQ-00042,Customer Support,Tyskland,Individual Contributor,Junior,2023-03-20,2023-04-05,16,51,10,EMP-00171,Job Board
REQ-00043,Engineering,Sverige,Individual Contributor,Junior,2023-07-25,2023-09-16,53,79,15,EMP-00174,Agency
REQ-00044,Operations,Tyskland,Specialist,Mid,2021-12-21,2022-01-25,35,21,4,EMP-00181,Referral
REQ-00045,Finance,Sverige,Individual Contributor,Mid,2022-06-03,2022-07-03,30,87,11,EMP-00193,Referral
REQ-00046,Customer Support,Tyskland,Individual Contributor,Junior,2022-07-11,2022-09-01,52,114,10,EMP-00198,Referral
REQ-00047,Sales,Sverige,Individual Contributor,Junior,2024-11-06,2024-12-10,34,115,14,EMP-00204,Referral
REQ-00048,Marketing,Sverige,Individual Contributor,Mid,2022-05-01,2022-06-01,31,127,9,EMP-00208,Internal
REQ-00049,Engineering,Danmark,Individual Contributor,Junior,2023-07-29,2023-10-03,66,110,8,EMP-00214,Agency
REQ-00050,Operations,Norge,Individual Contributor,Junior,2022-07-30,2022-08-31,32,43,15,EMP-00217,Referral
REQ-00051,Customer Support,Sverige,Specialist,Mid,2022-11-16,2022-12-14,28,119,7,EMP-00222,LinkedIn
REQ-00052,Customer Support,Norge,Individual Contributor,Junior,2024-04-25,2024-05-12,17,75,9,EMP-00223,LinkedIn
REQ-00053,Customer Support,Danmark,Individual Contributor,Junior,2024-07-12,2024-08-16,35,49,10,EMP-00224,Job Board
REQ-00054,Sales,Danmark,Individual Contributor,Junior,2022-06-02,2022-07-20,48,97,10,EMP-00235,Job Board
REQ-00055,Sales,Finland,Individual Contributor,Junior,2024-04-09,2024-05-17,38,60,5,EMP-00239,Job Board
REQ-00056,Engineering,Tyskland,Individual Contributor,Mid,2022-07-15,2022-08-14,30,52,12,EMP-00253,Internal
REQ-00057,Engineering,Norge,Individual Contributor,Junior,2023-08-27,2023-10-31,65,92,8,EMP-00256,LinkedIn
REQ-00058,Marketing,Tyskland,Individual Contributor,Junior,2023-02-19,2023-04-10,50,45,12,EMP-00257,Referral
REQ-00059,HR,Sverige,Individual Contributor,Junior,2022-10-11,2022-11-23,43,101,4,EMP-00259,Referral
REQ-00060,Marketing,Finland,Individual Contributor,Mid,2022-07-09,2022-08-24,46,94,4,EMP-00264,Referral
REQ-00061,Engineering,Sverige,Individual Contributor,Mid,2022-05-12,2022-07-07,56,23,15,EMP-00268,Internal
REQ-00062,Sales,Norge,Individual Contributor,Mid,2022-06-21,2022-07-05,14,105,7,EMP-00273,Internal
REQ-00063,Engineering,Norge,Individual Contributor,Junior,2023-01-23,2023-03-05,41,22,3,EMP-00276,Referral
REQ-00064,Marketing,Danmark,Individual Contributor,Junior,2023-09-01,2023-10-16,45,77,11,EMP-00277,Agency
REQ-00065,Operations,Danmark,Specialist,Mid,2024-08-13,2024-09-22,40,23,13,EMP-00278,Agency
REQ-00066,Engineering,Finland,Individual Contributor,Junior,2022-05-20,2022-08-01,73,89,15,EMP-00292,LinkedIn
REQ-00067,Marketing,Norge,Individual Contributor,Mid,2022-04-21,2022-06-18,58,139,15,EMP-00297,Internal
REQ-00068,R&D,Sverige,Individual Contributor,Junior,2023-09-06,2023-09-22,16,121,14,EMP-00300,LinkedIn
REQ-00069,Engineering,Tyskland,Individual Contributor,Junior,2022-10-29,2022-12-25,57,29,13,EMP-00306,Agency
REQ-00070,Operations,Finland,Individual Contributor,Junior,2024-10-30,2024-12-10,41,129,8,EMP-00307,Agency
REQ-00071,Finance,Danmark,Specialist,Junior,2022-07-07,2022-08-04,28,40,6,EMP-00309,LinkedIn
REQ-00072,Sales,Finland,Individual Contributor,Junior,2022-04-27,2022-07-18,82,147,3,EMP-00310,Internal
REQ-00073,Sales,Danmark,Individual Contributor,Junior,2022-06-16,2022-06-30,14,137,11,EMP-00312,Agency
REQ-00074,R&D,Sverige,Individual Contributor,Mid,2023-12-25,2024-01-26,32,105,10,EMP-00314,Job Board
REQ-00075,R&D,Danmark,Individual Contributor,Junior,2023-02-20,2023-03-23,31,50,9,EMP-00316,Job Board
REQ-00076,Engineering,Norge,Individual Contributor,Mid,2023-03-14,2023-05-03,50,37,9,EMP-00319,Job Board
REQ-00077,Marketing,Norge,Specialist,Mid,2024-03-16,2024-03-30,14,130,10,EMP-00320,LinkedIn
REQ-00078,Customer Support,Danmark,Individual Contributor,Junior,2024-11-20,2024-12-10,20,130,9,EMP-00321,Referral
REQ-00079,Sales,Tyskland,Individual Contributor,Junior,2024-11-05,2024-12-10,35,104,4,EMP-00322,Agency
REQ-00080,Finance,Norge,Individual Contributor,Junior,2022-12-02,2022-12-16,14,65,3,EMP-00332,Internal
REQ-00081,Engineering,Norge,Individual Contributor,Mid,2024-03-17,2024-05-20,64,71,11,EMP-00335,Internal
REQ-00082,Engineering,Finland,Individual Contributor,Mid,2023-10-08,2023-12-15,68,114,5,EMP-00336,Agency
REQ-00083,Engineering,Norge,Individual Contributor,Junior,2023-08-29,2023-09-24,26,113,10,EMP-00339,Agency
REQ-00084,Engineering,Tyskland,Individual Contributor,Junior,2024-10-25,2024-12-10,46,35,4,EMP-00341,Job Board
REQ-00085,Finance,Finland,Individual Contributor,Junior,2023-11-27,2024-01-16,50,106,7,EMP-00342,Job Board
REQ-00086,Marketing,Sverige,Individual Contributor,Junior,2024-11-26,2024-12-10,14,41,13,EMP-00352,Referral
REQ-00087,Finance,Danmark,Individual Contributor,Mid,2024-11-26,2024-12-10,14,24,9,EMP-00354,Referral
REQ-00088,Operations,Danmark,Specialist,Mid,2023-05-19,2023-06-08,20,107,4,EMP-00360,LinkedIn
REQ-00089,Operations,Norge,Individual Contributor,Junior,2024-09-26,2024-12-10,75,43,4,EMP-00361,Referral
REQ-00090,Operations,Norge,Specialist,Mid,2021-11-19,2022-01-09,51,145,11,EMP-00363,Referral
REQ-00091,Customer Support,Tyskland,Individual Contributor,Junior,2024-11-15,2024-12-10,25,89,11,EMP-00365,Internal
REQ-00092,Sales,Norge,Individual Contributor,Junior,2023-05-13,2023-05-28,15,102,4,EMP-00367,Agency
REQ-00093,Sales,Norge,Individual Contributor,Junior,2022-11-26,2022-12-18,22,123,9,EMP-00368,Referral
REQ-00094,R&D,Danmark,Individual Contributor,Junior,2024-06-04,2024-07-31,57,137,13,EMP-00371,LinkedIn
REQ-00095,R&D,Danmark,Individual Contributor,Junior,2024-06-22,2024-08-26,65,117,12,EMP-00374,LinkedIn
REQ-00096,Engineering,Norge,Individual Contributor,Junior,2024-02-18,2024-03-26,37,26,5,EMP-00376,LinkedIn
REQ-00097,Engineering,Sverige,Individual Contributor,Junior,2024-08-26,2024-10-19,54,71,15,EMP-00379,Agency
REQ-00098,R&D,Finland,Individual Contributor,Junior,2023-10-21,2023-12-01,41,67,13,EMP-00383,Referral
REQ-00099,Sales,Finland,Individual Contributor,Junior,2022-11-22,2023-01-25,64,70,12,EMP-00384,Agency
REQ-00100,Sales,Norge,Individual Contributor,Junior,2022-09-26,2022-10-14,18,117,12,EMP-00387,Agency
REQ-00101,Sales,Sverige,Individual Contributor,Junior,2024-08-17,2024-10-05,49,138,4,EMP-00392,Internal
REQ-00102,Engineering,Danmark,Individual Contributor,Junior,2022-12-09,2023-01-07,29,110,10,EMP-00393,LinkedIn
REQ-00103,Sales,Finland,Individual Contributor,Junior,2024-10-12,2024-12-10,59,47,9,EMP-00394,Referral
REQ-00104,Customer Support,Norge,Individual Contributor,Junior,2024-11-18,2024-12-10,22,94,8,EMP-00395,LinkedIn
REQ-00105,Customer Support,Tyskland,Individual Contributor,Junior,2024-03-12,2024-04-11,30,57,5,EMP-00396,Agency
REQ-00106,Operations,Danmark,Individual Contributor,Mid,2022-01-06,2022-01-31,25,35,5,EMP-00397,Internal
REQ-00107,Engineering,Sverige,Individual Contributor,Junior,2024-09-22,2024-12-10,79,76,11,EMP-00401,Job Board
REQ-00108,Engineering,Danmark,Individual Contributor,Mid,2023-04-27,2023-06-30,64,68,3,EMP-00402,LinkedIn
REQ-00109,Engineering,Norge,Individual Contributor,Mid,2023-02-10,2023-03-25,43,49,7,EMP-00403,Agency
REQ-00110,Finance,Finland,Specialist,Mid,2023-10-02,2023-11-03,32,120,3,EMP-00405,LinkedIn
REQ-00111,HR,Sverige,Individual Contributor,Mid,2023-05-03,2023-06-26,54,121,14,EMP-00408,Job Board
REQ-00112,Engineering,Norge,Individual Contributor,Junior,2023-11-22,2023-12-06,14,128,5,EMP-00411,Job Board
REQ-00113,Sales,Tyskland,Individual Contributor,Mid,2022-07-29,2022-09-09,42,61,5,EMP-00412,LinkedIn
REQ-00114,Finance,Norge,Individual Contributor,Mid,2022-04-25,2022-05-15,20,111,6,EMP-00415,Referral
REQ-00115,Sales,Sverige,Individual Contributor,Mid,2021-11-08,2022-01-15,68,63,4,EMP-00418,Internal
REQ-00116,Customer Support,Danmark,Individual Contributor,Mid,2023-09-19,2023-12-03,75,21,14,EMP-00426,Referral
REQ-00117,Sales,Norge,Individual Contributor,Junior,2024-11-05,2024-12-10,35,112,6,EMP-00427,LinkedIn
REQ-00118,Operations,Finland,Individual Contributor,Junior,2024-11-01,2024-12-10,39,133,5,EMP-00428,Referral
REQ-00119,R&D,Norge,Individual Contributor,Junior,2022-02-22,2022-03-30,36,54,15,EMP-00434,Internal
REQ-00120,Engineering,Norge,Individual Contributor,Mid,2022-05-16,2022-06-25,40,130,9,EMP-00435,Referral
REQ-00121,Engineering,Tyskland,Individual Contributor,Mid,2022-07-17,2022-08-24,38,90,12,EMP-00437,Internal
REQ-00122,Customer Support,Sverige,Individual Contributor,Junior,2024-06-29,2024-08-06,38,23,8,EMP-00442,Job Board
REQ-00123,Operations,Finland,Individual Contributor,Junior,2024-10-17,2024-12-10,54,147,6,EMP-00446,Internal
REQ-00124,Operations,Sverige,Individual Contributor,Junior,2023-06-12,2023-07-18,36,81,10,EMP-00450,LinkedIn
REQ-00125,Engineering,Norge,Individual Contributor,Junior,2023-09-05,2023-10-29,54,81,10,EMP-00452,Job Board
REQ-00126,Operations,Danmark,Individual Contributor,Junior,2024-06-23,2024-07-18,25,115,15,EMP-00457,Job Board
REQ-00127,Finance,Norge,Specialist,Junior,2024-09-19,2024-10-09,20,35,11,EMP-00465,Job Board
REQ-00128,Customer Support,Norge,Individual Contributor,Junior,2023-06-19,2023-07-09,20,72,3,EMP-00468,Agency
REQ-00129,Sales,Danmark,Individual Contributor,Junior,2024-09-27,2024-11-12,46,55,12,EMP-00476,LinkedIn
REQ-00130,R&D,Danmark,Individual Contributor,Junior,2024-09-25,2024-10-31,36,51,10,EMP-00482,Job Board
REQ-00131,Customer Support,Tyskland,Individual Contributor,Junior,2024-11-02,2024-12-10,38,33,7,EMP-00485,Job Board
REQ-00132,Engineering,Danmark,Individual Contributor,Mid,2022-03-13,2022-05-07,55,127,10,EMP-00486,Internal
REQ-00133,Sales,Finland,Individual Contributor,Junior,2022-08-11,2022-09-24,44,58,12,EMP-00490,Internal
REQ-00134,Operations,Norge,Individual Contributor,Junior,2023-03-31,2023-05-06,36,96,5,EMP-00493,Referral
REQ-00135,HR,Danmark,Individual Contributor,Junior,2022-01-23,2022-03-18,54,41,12,EMP-00495,Job Board
REQ-00136,Engineering,Finland,Individual Contributor,Junior,2022-10-01,2022-12-11,71,129,6,EMP-00498,Internal
REQ-00137,R&D,Norge,Individual Contributor,Mid,2023-02-25,2023-03-29,32,135,14,EMP-00499,Agency
REQ-00138,Finance,Norge,Specialist,Junior,2024-11-13,2024-12-10,27,27,3,EMP-00500,LinkedIn
REQ-00139,Customer Support,Sverige,Individual Contributor,Junior,2023-03-06,2023-04-25,50,134,5,EMP-00502,LinkedIn
REQ-00140,Customer Support,Norge,Individual Contributor,Junior,2024-11-01,2024-12-10,39,63,6,EMP-00505,Referral
REQ-00141,HR,Tyskland,Individual Contributor,Junior,2024-11-10,2024-12-10,30,144,3,EMP-00506,Job Board
REQ-00142,Engineering,Tyskland,Individual Contributor,Junior,2024-06-22,2024-07-22,30,132,10,EMP-00507,LinkedIn
REQ-00143,HR,Norge,Individual Contributor,Junior,2024-10-04,2024-12-03,60,37,8,EMP-00508,Agency
REQ-00144,Engineering,Sverige,Individual Contributor,Junior,2024-11-07,2024-12-10,33,96,13,EMP-00516,LinkedIn
REQ-00145,Sales,Norge,Individual Contributor,Junior,2023-04-06,2023-05-15,39,88,7,EMP-00519,LinkedIn
REQ-00146,Engineering,Sverige,Individual Contributor,Mid,2022-01-22,2022-04-09,77,31,5,EMP-00521,Internal
REQ-00147,Engineering,Sverige,Individual Contributor,Mid,2024-04-14,2024-05-28,44,75,15,EMP-00522,LinkedIn
REQ-00148,R&D,Sverige,Individual Contributor,Junior,2024-11-06,2024-12-10,34,25,6,EMP-00523,Internal
REQ-00149,Finance,Norge,Individual Contributor,Junior,2023-03-16,2023-05-02,47,140,13,EMP-00524,Job Board
REQ-00150,Marketing,Danmark,Specialist,Mid,2023-01-01,2023-01-18,17,29,3,EMP-00530,Referral
REQ-00151,Finance,Tyskland,Specialist,Junior,2024-11-26,2024-12-10,14,107,15,EMP-00532,Agency
REQ-00152,HR,Sverige,Individual Contributor,Mid,2022-01-09,2022-02-07,29,87,5,EMP-00534,Internal
REQ-00153,Engineering,Norge,Individual Contributor,Junior,2022-09-26,2022-11-16,51,147,3,EMP-00539,Job Board
REQ-00154,Engineering,Danmark,Individual Contributor,Mid,2023-04-29,2023-06-19,51,75,4,EMP-00540,Agency
REQ-00155,Sales,Norge,Individual Contributor,Mid,2022-05-02,2022-06-27,56,51,11,EMP-00549,Internal
REQ-00156,Customer Support,Sverige,Individual Contributor,Mid,2023-04-20,2023-05-10,20,35,6,EMP-00550,Job Board
REQ-00157,Operations,Finland,Individual Contributor,Junior,2022-04-10,2022-05-22,42,68,3,EMP-00555,Internal
REQ-00158,Customer Support,Sverige,Individual Contributor,Junior,2022-07-08,2022-09-03,57,136,4,EMP-00556,Internal
REQ-00159,Engineering,Norge,Individual Contributor,Junior,2024-10-26,2024-12-10,45,97,11,EMP-00558,Job Board
REQ-00160,Finance,Sverige,Individual Contributor,Junior,2022-11-07,2023-01-10,64,75,3,EMP-00559,Internal
REQ-00161,R&D,Danmark,Individual Contributor,Mid,2022-05-08,2022-06-08,31,104,14,EMP-00560,Internal
REQ-00162,Engineering,Norge,Individual Contributor,Junior,2023-03-06,2023-04-14,39,98,8,EMP-00564,LinkedIn
REQ-00163,Marketing,Sverige,Individual Contributor,Junior,2024-11-06,2024-12-10,34,53,10,EMP-00566,Agency
REQ-00164,Marketing,Sverige,Individual Contributor,Junior,2023-03-08,2023-04-15,38,121,11,EMP-00567,Referral
REQ-00165,Sales,Norge,Individual Contributor,Junior,2024-04-19,2024-05-17,28,44,12,EMP-00569,Internal
REQ-00166,Engineering,Norge,Individual Contributor,Mid,2022-03-21,2022-05-15,55,91,11,EMP-00570,Internal
REQ-00167,Engineering,Norge,Individual Contributor,Junior,2024-10-24,2024-12-10,47,96,9,EMP-00571,Agency
REQ-00168,Engineering,Tyskland,Individual Contributor,Junior,2022-03-22,2022-05-30,69,86,11,EMP-00577,Job Board
REQ-00169,HR,Danmark,Individual Contributor,Junior,2024-10-29,2024-12-10,42,63,6,EMP-00580,LinkedIn
REQ-00170,Engineering,Finland,Individual Contributor,Junior,2023-02-19,2023-04-20,60,122,7,EMP-00583,LinkedIn
REQ-00171,R&D,Norge,Individual Contributor,Junior,2023-06-11,2023-07-11,30,105,3,EMP-00593,LinkedIn
REQ-00172,Engineering,Danmark,Individual Contributor,Junior,2022-01-06,2022-03-09,62,91,10,EMP-00599,LinkedIn
REQ-00173,Engineering,Norge,Individual Contributor,Mid,2022-08-23,2022-10-12,50,144,7,EMP-00601,LinkedIn
REQ-00174,Engineering,Tyskland,Individual Contributor,Junior,2024-10-28,2024-12-10,43,112,11,EMP-00602,Referral
REQ-00175,Customer Support,Tyskland,Individual Contributor,Mid,2022-12-18,2023-01-11,24,96,3,EMP-00608,Internal
REQ-00176,Customer Support,Sverige,Individual Contributor,Junior,2023-09-12,2023-10-27,45,124,9,EMP-00610,Job Board
REQ-00177,HR,Norge,Specialist,Mid,2023-03-09,2023-04-05,27,58,7,EMP-00613,LinkedIn
REQ-00178,Customer Support,Danmark,Individual Contributor,Junior,2022-03-05,2022-04-04,30,41,4,EMP-00614,Referral
REQ-00179,Engineering,Finland,Individual Contributor,Junior,2024-09-18,2024-11-25,68,29,15,EMP-00617,LinkedIn
REQ-00180,R&D,Norge,Individual Contributor,Mid,2024-06-06,2024-07-27,51,89,14,EMP-00623,Job Board
REQ-00181,R&D,Tyskland,Individual Contributor,Mid,2024-01-31,2024-03-14,43,49,11,EMP-00630,LinkedIn
REQ-00182,R&D,Norge,Individual Contributor,Mid,2022-11-27,2023-01-13,47,124,3,EMP-00634,Referral
REQ-00183,Marketing,Tyskland,Individual Contributor,Junior,2024-10-26,2024-12-10,45,65,14,EMP-00641,LinkedIn
REQ-00184,Sales,Sverige,Individual Contributor,Junior,2022-04-24,2022-05-29,35,122,12,EMP-00642,Agency
REQ-00185,Finance,Tyskland,Individual Contributor,Mid,2022-07-09,2022-08-18,40,61,9,EMP-00644,Agency
REQ-00186,Sales,Tyskland,Individual Contributor,Mid,2021-12-07,2022-02-07,62,43,9,EMP-00645,Internal
REQ-00187,Engineering,Norge,Individual Contributor,Mid,2024-03-06,2024-04-22,47,89,10,EMP-00648,LinkedIn
REQ-00188,Sales,Sverige,Individual Contributor,Junior,2024-05-31,2024-06-18,18,24,5,EMP-00659,LinkedIn
REQ-00189,Operations,Sverige,Specialist,Mid,2022-03-28,2022-04-11,14,69,4,EMP-00669,Internal
REQ-00190,Sales,Norge,Individual Contributor,Mid,2022-07-17,2022-09-19,64,99,4,EMP-00672,Job Board
REQ-00191,Engineering,Finland,Individual Contributor,Mid,2023-01-10,2023-04-09,89,53,7,EMP-00673,LinkedIn
REQ-00192,Engineering,Sverige,Individual Contributor,Mid,2022-07-22,2022-08-26,35,66,12,EMP-00676,Referral
REQ-00193,R&D,Norge,Individual Contributor,Mid,2022-10-28,2022-12-21,54,96,3,EMP-00678,Internal
REQ-00194,Sales,Norge,Individual Contributor,Junior,2024-01-01,2024-02-20,50,108,15,EMP-00685,Referral
REQ-00195,Engineering,Sverige,Individual Contributor,Junior,2022-03-01,2022-04-29,59,119,7,EMP-00686,LinkedIn
REQ-00196,Marketing,Danmark,Individual Contributor,Mid,2022-07-14,2022-08-25,42,120,14,EMP-00689,LinkedIn
REQ-00197,Operations,Norge,Individual Contributor,Junior,2023-11-07,2023-11-30,23,145,5,EMP-00693,Job Board
REQ-00198,Customer Support,Norge,Specialist,Mid,2022-06-03,2022-07-09,36,137,15,EMP-00694,LinkedIn
REQ-00199,Operations,Norge,Individual Contributor,Mid,2022-01-31,2022-03-12,40,145,13,EMP-00695,Internal
REQ-00200,Engineering,Tyskland,Individual Contributor,Mid,2022-01-11,2022-03-03,51,73,4,EMP-00699,Referral
REQ-00201,Operations,Norge,Individual Contributor,Junior,2023-03-18,2023-04-21,34,145,3,EMP-00702,Referral
REQ-00202,Engineering,Danmark,Individual Contributor,Mid,2023-09-17,2023-11-25,69,32,7,EMP-00706,LinkedIn
REQ-00203,Sales,Sverige,Individual Contributor,Junior,2024-10-15,2024-12-04,50,56,3,EMP-00708,LinkedIn
REQ-00204,Sales,Sverige,Individual Contributor,Junior,2023-03-05,2023-04-22,48,92,7,EMP-00709,Agency
REQ-00205,Finance,Sverige,Specialist,Junior,2022-06-01,2022-07-19,48,141,4,EMP-00711,Internal
REQ-00206,Engineering,Norge,Individual Contributor,Junior,2023-06-18,2023-08-10,53,39,13,EMP-00712,Referral
REQ-00207,Finance,Norge,Individual Contributor,Mid,2023-06-10,2023-08-01,52,142,6,EMP-00713,LinkedIn
REQ-00208,Engineering,Sverige,Individual Contributor,Junior,2024-11-08,2024-12-10,32,57,13,EMP-00715,LinkedIn
REQ-00209,Sales,Norge,Individual Contributor,Mid,2023-01-11,2023-02-16,36,57,4,EMP-00717,LinkedIn
REQ-00210,R&D,Norge,Individual Contributor,Mid,2022-01-13,2022-02-27,45,26,10,EMP-00720,Agency
REQ-00211,Finance,Danmark,Specialist,Mid,2022-04-27,2022-06-09,43,39,6,EMP-00722,Internal
REQ-00212,R&D,Danmark,Individual Contributor,Junior,2022-10-20,2022-11-29,40,131,13,EMP-00723,Referral
REQ-00213,Customer Support,Danmark,Individual Contributor,Junior,2024-10-23,2024-12-10,48,99,12,EMP-00724,LinkedIn
REQ-00214,Engineering,Danmark,Individual Contributor,Junior,2023-07-05,2023-09-14,71,22,10,EMP-00727,LinkedIn
REQ-00215,Engineering,Sverige,Individual Contributor,Mid,2022-06-17,2022-07-21,34,76,12,EMP-00729,Internal
REQ-00216,Engineering,Tyskland,Individual Contributor,Junior,2022-04-11,2022-06-04,54,94,5,EMP-00734,Referral
REQ-00217,Engineering,Sverige,Individual Contributor,Junior,2022-01-20,2022-02-28,39,76,14,EMP-00738,Internal
REQ-00218,Engineering,Finland,Individual Contributor,Mid,2022-03-02,2022-05-17,76,87,5,EMP-00740,LinkedIn
REQ-00219,R&D,Danmark,Individual Contributor,Mid,2022-09-27,2022-11-11,45,34,9,EMP-00742,Internal
REQ-00220,Engineering,Norge,Individual Contributor,Junior,2024-08-21,2024-09-25,35,96,13,EMP-00747,Agency
REQ-00221,R&D,Norge,Individual Contributor,Mid,2022-05-03,2022-06-06,34,54,5,EMP-00753,Job Board
REQ-00222,Engineering,Norge,Individual Contributor,Junior,2022-03-14,2022-04-10,27,100,14,EMP-00755,Referral
REQ-00223,R&D,Finland,Individual Contributor,Mid,2024-02-11,2024-04-10,59,44,9,EMP-00758,Agency
REQ-00224,Marketing,Sverige,Individual Contributor,Junior,2024-11-14,2024-12-10,26,94,3,EMP-00761,Job Board
REQ-00225,Sales,Tyskland,Individual Contributor,Mid,2022-05-06,2022-05-24,18,91,11,EMP-00764,Internal
REQ-00226,Marketing,Tyskland,Individual Contributor,Junior,2024-05-18,2024-06-16,29,112,5,EMP-00767,LinkedIn
REQ-00227,Engineering,Norge,Individual Contributor,Mid,2022-05-21,2022-07-18,58,88,6,EMP-00772,Internal
REQ-00228,Sales,Norge,Individual Contributor,Junior,2022-12-25,2023-02-02,39,91,15,EMP-00775,Job Board
REQ-00229,Engineering,Sverige,Individual Contributor,Junior,2024-04-20,2024-06-01,42,113,9,EMP-00776,LinkedIn
REQ-00230,Sales,Norge,Individual Contributor,Mid,2022-09-27,2022-10-30,33,121,6,EMP-00779,Agency
REQ-00231,Marketing,Norge,Individual Contributor,Junior,2022-09-23,2022-10-23,30,40,11,EMP-00780,LinkedIn
